date,open,high,low,close,volume,split,dividend
2024-08-28,58.54,58.72,56.41,57.07,927721,1.0,0.0
2024-08-29,57.81,58.48,57.22,58.03,866572,1.0,0.0
2024-08-30,58.19,58.78,55.82,57.17,2444120,1.0,0.0
2024-09-03,56.82,57.22,54.945,55.54,1317764,1.0,0.0
2024-09-04,55.32,56.71,54.65,54.76,968267,1.0,0.0
2024-09-05,54.69,55.81,54.04,54.19,1380405,1.0,0.0
2024-09-06,54.22,54.72,53.2,54.47,1084750,1.0,0.0
2024-09-09,54.72,57.58,54.12,56.81,1470707,1.0,0.0
2024-09-10,57.12,57.6,55.65,57.47,914998,1.0,0.0
2024-09-11,57.07,58.07,55.81,57.9,1346710,1.0,0.0
2024-09-12,58.16,58.92,57.5,58.76,1001722,1.0,0.0
2024-09-13,59.07,60.29,58.995,59.41,1088499,1.0,0.0
2024-09-16,60.06,60.485,59.065,59.6,1207310,1.0,0.0
2024-09-17,59.95,60.22,58.63,58.99,901094,1.0,0.0
2024-09-18,59.11,60.02,58.89,59.18,1471226,1.0,0.0
2024-09-19,60.0,60.01,59.11,59.64,1416187,1.0,0.0
2024-09-20,59.35,59.35,58.12,58.91,3216092,1.0,0.0
2024-09-23,59.18,59.89,58.405,59.2,1159922,1.0,0.0
2024-09-24,60.19,60.96,59.7,60.41,1147216,1.0,0.0
2024-09-25,60.28,60.28,58.45,58.49,990547,1.0,0.0
2024-09-26,59.58,59.755,58.47,58.79,1693038,1.0,0.0
2024-09-27,59.4,60.46,58.94,60.2,1732674,1.0,0.0
2024-09-30,59.93,61.65,59.92,61.25,1514734,1.0,0.0
2024-10-01,61.1,61.41,59.15,60.8,1743897,1.0,0.0
2024-10-02,60.65,61.92,60.25,61.76,1553877,1.0,0.0
2024-10-03,61.13,62.19,61.13,61.59,1230990,1.0,0.0
2024-10-04,62.5,62.5,61.27,61.86,755031,1.0,0.0
2024-10-07,61.69,61.77,60.26,60.7,862528,1.0,0.0
2024-10-08,61.0,61.105,60.35,60.5,917737,1.0,0.0
2024-10-09,60.94,61.95,60.61,61.84,782789,1.0,0.0
2024-10-10,61.33,62.5,60.6,62.38,664489,1.0,0.0
2024-10-11,62.17,63.05,61.95,61.97,825167,1.0,0.0
2024-10-14,62.92,63.67,62.13,63.44,637110,1.0,0.0
2024-10-15,63.37,64.63,63.37,63.96,1678413,1.0,0.0
2024-10-16,64.14,64.54,63.64,63.96,892422,1.0,0.0
2024-10-17,63.97,64.38,63.02,63.89,750281,1.0,0.0
2024-10-18,64.08,65.25,63.85,65.0,1259611,1.0,0.0
2024-10-21,64.86,65.53,64.47,64.79,971644,1.0,0.0
2024-10-22,64.79,65.62,64.24,64.74,1099494,1.0,0.0
2024-10-23,64.23,65.115,63.98,64.86,866435,1.0,0.0
2024-10-24,64.9,65.84,64.665,65.06,872646,1.0,0.0
2024-10-25,65.44,66.06,64.58,64.84,1134940,1.0,0.0
2024-10-28,65.38,66.09,65.03,65.11,1433462,1.0,0.0
2024-10-29,65.25,65.54,64.35,65.32,2875438,1.0,0.0
2024-10-30,63.0,71.58,61.51,70.08,4397607,1.0,0.0
2024-10-31,69.51,72.29,69.325,70.95,2869466,1.0,0.0
2024-11-01,70.73,75.41,70.7,75.23,2843422,1.0,0.0
2024-11-04,75.37,76.3,74.87,75.4,2910770,1.0,0.0
2024-11-05,75.47,77.25,75.06,77.16,1854790,1.0,0.0
2024-11-06,78.77,81.02,78.065,80.95,2323132,1.0,0.0
2024-11-07,80.88,81.12,79.08,80.63,1669326,1.0,0.0
2024-11-08,80.24,81.2,79.76,81.14,1328375,1.0,0.0
2024-11-11,81.32,81.325,78.88,79.66,1907410,1.0,0.0
2024-11-12,79.35,80.4,75.87,78.96,3026610,1.0,0.0
2024-11-13,79.23,79.885,76.84,77.17,2209070,1.0,0.0
2024-11-14,77.0,78.29,76.42,76.74,1355691,1.0,0.0
2024-11-15,76.26,76.930138,74.49,74.56,1342390,1.0,0.0
2024-11-18,74.64,75.13,74.09,74.65,1154270,1.0,0.0
2024-11-19,73.05,75.08,72.436,74.76,1042658,1.0,0.0
2024-11-20,74.63,76.29,73.94,75.91,956636,1.0,0.0
2024-11-21,76.11,78.73,76.075,78.7,1166092,1.0,0.0
2024-11-22,78.7,80.19,78.23,79.79,1101316,1.0,0.0
2024-11-25,80.93,82.69,80.21,81.8,2987458,1.0,0.0
2024-11-26,81.0,81.68,79.39,79.68,5322402,1.0,0.0
2024-11-27,79.76,80.23,78.39,79.87,1509923,1.0,0.0
2024-11-29,80.0,80.5,79.58,79.99,798713,1.0,0.0
2024-12-02,80.1,81.9,79.7,81.39,1308824,1.0,0.0
2024-12-03,80.94,81.6099,79.68,80.49,1076030,1.0,0.0
2024-12-04,81.01,81.93,80.49,80.71,1243895,1.0,0.0
2024-12-05,80.94,80.975,77.19,77.21,2301882,1.0,0.0
2024-12-06,77.96,79.18,77.585,78.56,1225134,1.0,0.0
2024-12-09,78.8,79.63,78.43,79.23,1235197,1.0,0.0
2024-12-10,79.0,79.33,77.41,77.95,1216608,1.0,0.0
2024-12-11,78.45,79.13,78.055,78.29,820253,1.0,0.0
2024-12-12,77.99,78.5,77.06,77.53,822546,1.0,0.0
2024-12-13,77.29,77.98,76.67,77.17,1284292,1.0,0.0
2024-12-16,77.12,78.06,76.92,77.39,1462341,1.0,0.0
2024-12-17,76.98,78.03,76.725,77.46,1297973,1.0,0.0
2024-12-18,77.31,77.52,73.28,73.59,1538579,1.0,0.0
2024-12-19,74.26,75.25,72.34,74.0,1912994,1.0,0.0
2024-12-20,73.52,75.8,73.52,74.84,3719187,1.0,0.0
2024-12-23,74.64,74.64,73.53,73.99,717286,1.0,0.0
2024-12-24,73.96,74.39,73.7,74.23,435040,1.0,0.0
2024-12-26,73.95,74.72,73.525,74.15,695601,1.0,0.0
2024-12-27,73.29,74.33,72.71,73.72,835905,1.0,0.0
2024-12-30,72.81,73.165,71.44,72.49,623312,1.0,0.0
2024-12-31,72.91,73.23,72.33,72.64,616352,1.0,0.0
2025-01-02,73.48,73.49,70.71,71.39,1233819,1.0,0.0
2025-01-03,71.95,72.72,71.425,72.52,983589,1.0,0.0
2025-01-06,72.97,74.66,72.735,73.74,1302833,1.0,0.0
2025-01-07,73.92,73.98,70.89,71.23,900319,1.0,0.0
2025-01-08,69.97,70.43,69.01,70.13,1701480,1.0,0.0
2025-01-10,69.0,70.52,68.82,70.29,1158029,1.0,0.0
2025-01-13,69.67,70.69,69.39,70.42,985150,1.0,0.0
2025-01-14,70.69,71.28,69.79,70.5,1380431,1.0,0.0
2025-01-15,71.33,72.27,69.99,70.23,2142637,1.0,0.0
2025-01-16,70.06,70.7,69.42,70.18,1541097,1.0,0.0
2025-01-17,71.27,71.27,69.52,69.62,1450938,1.0,0.0
2025-01-21,70.12,70.5,68.47,69.59,2383030,1.0,0.0
2025-01-22,69.56,70.17,69.0,69.9,1523606,1.0,0.0
2025-01-23,69.5,70.14,69.265,70.0,1356281,1.0,0.0
2025-01-24,70.0,71.42,69.8,71.02,978401,1.0,0.0
2025-01-27,70.26,74.25,70.245,72.35,2209640,1.0,0.0
2025-01-28,72.37,75.14,72.0,74.08,2073612,1.0,0.0
2025-01-29,73.9,74.03,71.39,71.4,1056541,1.0,0.0
2025-01-30,71.58,72.21,69.88,70.57,1151484,1.0,0.0
2025-01-31,71.08,72.14,70.36,70.74,1715110,1.0,0.0
2025-02-03,69.04,71.21,67.625,71.08,1765803,1.0,0.0
2025-02-04,71.1,72.28,70.8,71.74,2304931,1.0,0.0
2025-02-05,67.03,68.1,63.07,66.0,6239568,1.0,0.0
2025-02-06,66.98,67.19,64.72,65.67,2828958,1.0,0.0
2025-02-07,66.09,67.3,64.57,65.03,1522820,1.0,0.0
2025-02-10,65.82,66.75,65.06,65.76,1648543,1.0,0.0
2025-02-11,65.2,65.76,64.8995,65.25,1019350,1.0,0.0
2025-02-12,64.44,64.92,63.5,64.81,1707899,1.0,0.0
2025-02-13,65.1,66.68,64.53,66.68,1762481,1.0,0.0
2025-02-14,66.98,67.65,66.29,66.42,1344575,1.0,0.0
2025-02-18,66.43,67.72,66.4,67.68,1873140,1.0,0.0
2025-02-19,67.23,68.28,66.71,68.27,1543256,1.0,0.0
2025-02-20,68.36,68.79,66.99,67.28,1076228,1.0,0.0
2025-02-21,67.39,67.64,64.56,64.65,2006796,1.0,0.0
2025-02-24,64.89,64.99,63.17,64.43,1672690,1.0,0.0
2025-02-25,64.19,64.46,62.885,62.96,1602528,1.0,0.0
2025-02-26,63.09,64.49,62.38,62.6,1472706,1.0,0.0
2025-02-27,62.71,62.95,61.62,61.64,1734437,1.0,0.0
2025-02-28,61.7,62.01,60.82,61.99,2293883,1.0,0.0
2025-03-03,58.96,61.25,57.44,59.42,3235417,1.0,0.0
2025-03-04,59.24,59.24,56.87,57.07,2685765,1.0,0.0
2025-03-05,56.94,57.87,56.63,57.23,2627023,1.0,0.0
2025-03-06,56.1,56.8,54.47,54.67,2534517,1.0,0.0
2025-03-07,55.215,55.92,53.76,55.42,2975522,1.0,0.0
2025-03-10,54.82,55.88,53.98,54.71,3204989,1.0,0.0
2025-03-11,54.28,55.03,53.32,53.72,2799202,1.0,0.0
2025-03-12,54.36,54.845,53.27,53.33,1392832,1.0,0.0
2025-03-13,52.87,52.915,51.51,52.18,2096452,1.0,0.0
2025-03-14,53.12,55.53,52.81,55.39,3099340,1.0,0.0
2025-03-17,55.35,57.29,55.23,56.94,2417968,1.0,0.0
2025-03-18,56.5,57.3,56.27,57.13,2122998,1.0,0.0
2025-03-19,57.3,58.16,57.03,57.67,1951394,1.0,0.0
2025-03-20,57.34,58.05,57.15,57.64,1855199,1.0,0.0
2025-03-21,57.08,58.51,56.57,58.5,4719827,1.0,0.0
2025-03-24,59.21,60.54,59.01,60.16,2745175,1.0,0.0
2025-03-25,60.3,60.72,59.73,60.2,1690085,1.0,0.0
2025-03-26,60.26,60.5,59.44,59.67,1363584,1.0,0.0
2025-03-27,59.25,60.155,58.7,59.65,1192028,1.0,0.0
2025-03-28,59.37,59.79,57.97,58.31,1361223,1.0,0.0
2025-03-31,57.59,58.715,57.02,58.33,1221806,1.0,0.0
2025-04-01,58.13,58.615,57.37,58.34,1048927,1.0,0.0
2025-04-02,57.4,59.51,57.4,59.3,1249627,1.0,0.0
2025-04-03,56.67,57.065,55.28,56.26,2170704,1.0,0.0
2025-04-04,55.15,55.28,50.54,51.49,3276122,1.0,0.0
2025-04-07,50.34,53.31,48.005,51.24,3123824,1.0,0.0
2025-04-08,53.0,53.35,48.66,49.33,1971360,1.0,0.0
2025-04-09,49.17,56.345,48.815,56.22,2171706,1.0,0.0
2025-04-10,55.49,55.49,52.755,54.12,1291525,1.0,0.0
2025-04-11,54.05,55.24,53.27,55.09,1284798,1.0,0.0
2025-04-14,56.35,56.93,55.27,56.16,1664407,1.0,0.0
2025-04-15,56.16,56.965,55.62,55.81,1549115,1.0,0.0
2025-04-16,55.57,56.1,54.4285,55.0,1866535,1.0,0.0
2025-04-17,55.04,55.215,54.12,54.15,1549927,1.0,0.0
2025-04-21,53.03,53.645,51.98,52.33,1341296,1.0,0.0
2025-04-22,52.94,53.855,52.5,53.58,3035249,1.0,0.0
2025-04-23,55.39,56.805,54.13,55.57,2316211,1.0,0.0
2025-04-24,55.48,57.45,55.44,57.27,1543095,1.0,0.0
2025-04-25,56.64,57.97,56.63,57.81,1232792,1.0,0.0
2025-04-28,57.82,58.39,56.73,57.26,1065281,1.0,0.0
2025-04-29,56.83,57.8,56.75,57.35,1043992,1.0,0.0
2025-04-30,56.18,58.02,55.54,57.87,1489478,1.0,0.0
2025-05-01,58.55,59.56,57.7,58.62,1274171,1.0,0.0
2025-05-02,59.61,60.16,58.81,58.85,1712883,1.0,0.0
2025-05-05,58.34,59.66,58.31,58.4,1209398,1.0,0.0
2025-05-06,57.69,59.46,57.46,58.19,3380962,1.0,0.0
2025-05-07,54.69,55.5,51.89,54.44,4825032,1.0,0.0
2025-05-08,55.24,59.4,54.51,58.33,4323780,1.0,0.0
2025-05-09,58.67,58.78,56.48,56.71,2943663,1.0,0.0
2025-05-12,59.01,59.65,57.9716,59.6,1892245,1.0,0.0
2025-05-13,59.34,60.02,59.11,59.26,1536494,1.0,0.0
2025-05-14,59.03,59.72,58.61,59.37,2683871,1.0,0.0
2025-05-15,58.84,59.49,58.285,59.13,1581571,1.0,0.0
2025-05-16,59.08,60.07,58.67,60.05,1067075,1.0,0.0
2025-05-19,59.03,59.83,59.0032,59.54,1268072,1.0,0.0
2025-05-20,58.21,59.29,58.21,58.83,1108150,1.0,0.0
2025-05-21,58.38,58.91,57.47,57.55,1482841,1.0,0.0
2025-05-22,57.44,58.7,56.97,58.35,1257152,1.0,0.0
2025-05-23,56.9,57.73,56.885,57.23,1059142,1.0,0.0
2025-05-27,57.96,58.68,56.25,58.43,1537333,1.0,0.0
2025-05-28,58.55,58.735,57.6,57.68,1375590,1.0,0.0
2025-05-29,58.19,58.19,56.97,57.7,1116186,1.0,0.0
2025-05-30,57.83,59.28,57.43,59.08,11998451,1.0,0.0
2025-06-02,59.0,59.315,57.7,58.23,1463604,1.0,0.0
2025-06-03,58.2,59.0665,57.47,58.94,2199633,1.0,0.0
2025-06-04,59.0,59.98,58.7,59.9,1436978,1.0,0.0
2025-06-05,60.16,60.7,58.86,59.18,1496100,1.0,0.0
2025-06-06,60.25,60.43,59.64,60.42,1103853,1.0,0.0
2025-06-09,60.8,60.8,58.84,59.16,1158073,1.0,0.0
2025-06-10,59.47,60.54,59.36,59.91,1634232,1.0,0.0
2025-06-11,59.86,61.14,59.75,60.65,1653651,1.0,0.0
2025-06-12,60.71,60.755,59.41,59.59,1245686,1.0,0.0
2025-06-13,58.0,58.47,56.675,57.08,2114883,1.0,0.0
2025-06-16,57.5,58.765,57.16,58.36,1590323,1.0,0.0
2025-06-17,57.74,58.05,56.69,56.87,1688724,1.0,0.0
2025-06-18,56.96,57.44,56.0,56.24,1714847,1.0,0.0
2025-06-20,56.49,56.91,56.08,56.57,2308529,1.0,0.0
2025-06-23,56.44,57.285,55.845,57.16,1161760,1.0,0.0
2025-06-24,57.9,58.22,57.25,57.75,1756245,1.0,0.0
2025-06-25,57.95,57.95,54.64,55.0,2450485,1.0,0.0
2025-06-26,55.41,55.52,54.48,55.12,3089316,1.0,0.0
2025-06-27,55.35,55.68,54.36,55.14,3514173,1.0,0.0
2025-06-30,54.82,55.87,54.5,55.39,1829279,1.0,0.0
2025-07-01,55.03,56.55,54.81,56.46,2253527,1.0,0.0
2025-07-02,56.34,56.72,54.605,55.5,1255223,1.0,0.0
2025-07-03,55.94,57.28,55.92,57.27,784116,1.0,0.0
2025-07-07,57.0,57.29,56.085,56.6,974446,1.0,0.0
2025-07-08,57.55,58.28,57.12,58.1,1241015,1.0,0.0
2025-07-09,58.98,59.19,58.05,59.06,1362226,1.0,0.0
2025-07-10,58.82,58.98,57.85,58.27,1165467,1.0,0.0
2025-07-11,57.73,57.985,55.07,55.25,1411421,1.0,0.0
2025-07-14,55.15,55.88,54.77,54.88,1506980,1.0,0.0
2025-07-15,55.01,55.295,54.12,54.24,1469469,1.0,0.0
2025-07-16,54.44,55.8,53.93,55.33,1869327,1.0,0.0
2025-07-17,55.7,57.88,55.58,57.63,1493882,1.0,0.0
2025-07-18,57.69,58.26,56.86,58.25,1281965,1.0,0.0
2025-07-21,58.64,58.94,57.34,57.4,930697,1.0,0.0
2025-07-22,57.52,58.81,57.09,58.39,1279511,1.0,0.0
2025-07-23,58.89,59.3,57.845,59.21,1301911,1.0,0.0
2025-07-24,59.26,59.63,58.99,59.41,927555,1.0,0.0
2025-07-25,59.69,60.03,59.03,60.0,912812,1.0,0.0
2025-07-28,60.27,60.435,58.96,58.96,1610208,1.0,0.0
2025-07-29,59.42,59.58,58.445,59.49,1009499,1.0,0.0
2025-07-30,57.1,59.57,56.81,59.0,1761417,1.0,0.0
2025-07-31,58.87,59.41,57.47,57.67,1450136,1.0,0.0
2025-08-01,57.34,57.8,54.42,55.27,1804926,1.0,0.0
2025-08-04,55.64,55.84,54.76,55.14,1456995,1.0,0.0
2025-08-05,55.41,55.47,53.01,53.21,3373448,1.0,0.0
2025-08-06,52.97,54.05,50.74,53.4,5072929,1.0,0.0
2025-08-07,54.78,55.51,51.34,52.8,2287870,1.0,0.0
2025-08-08,52.62,52.75,50.925,51.17,1994402,1.0,0.0
2025-08-11,51.59,51.9499,49.65,49.92,1438515,1.0,0.0
2025-08-12,50.19,51.83,49.98,51.56,2009464,1.0,0.0
2025-08-13,51.87,53.44,51.5,53.43,1964534,1.0,0.0
2025-08-14,52.85,54.12,52.39,53.41,2619196,1.0,0.0
2025-08-15,53.61,53.66,52.29,52.88,2161226,1.0,0.0
2025-08-18,65.95,68.29,64.7277,66.62,11383288,1.0,0.0
2025-08-19,66.3,66.57,65.11,65.47,4030500,1.0,0.0
2025-08-20,67.58,68.0,66.97,67.4,5528240,1.0,0.0
2025-08-21,68.5,69.025,68.41,69.0,13085037,1.0,0.0
2025-08-22,69.0,69.4,68.8501,69.2,5247733,1.0,0.0
2025-08-25,68.83,69.6,68.83,69.49,2490119,1.0,0.0
2025-08-26,69.55,69.81,69.35,69.57,1721139,1.0,0.0
2025-08-27,69.5,69.68,69.49,69.55,1601550,1.0,0.0
2025-08-28,69.55,69.85,69.53,69.7,2971682,1.0,0.0
2025-08-29,69.65,69.82,69.48,69.77,1637523,1.0,0.0
2025-09-02,69.47,69.81,69.22,69.5,1927567,1.0,0.0
2025-09-03,69.57,69.7,69.26,69.54,1343626,1.0,0.0
2025-09-04,69.41,69.69,69.36,69.55,1408973,1.0,0.0
2025-09-05,69.6,69.68,68.77,69.0,2868018,1.0,0.0
2025-09-08,69.1,69.37,68.87,69.34,2477098,1.0,0.0
2025-09-09,69.2,69.26,68.87,68.9,1642158,1.0,0.0
2025-09-10,68.87,69.17,68.84,68.89,1929683,1.0,0.0
2025-09-11,69.08,69.13,68.87,69.02,1885901,1.0,0.0
2025-09-12,69.09,69.15,68.88,68.99,1302397,1.0,0.0
2025-09-15,68.95,69.2,68.9,68.91,1264701,1.0,0.0
2025-09-16,68.93,69.095,68.91,69.07,883941,1.0,0.0
2025-09-17,69.08,69.27,68.41,68.41,3668737,1.0,0.0
2025-09-18,68.95,69.14,68.81,68.95,1367127,1.0,0.0
2025-09-19,68.88,68.925,68.76,68.8,2993779,1.0,0.0
2025-09-22,68.83,69.02,68.71,68.75,7705936,1.0,0.0
2025-09-23,68.82,68.87,68.75,68.82,6395427,1.0,0.0
2025-09-24,68.89,68.89,68.75,68.83,4025001,1.0,0.0
2025-09-25,68.78,68.9,68.78,68.85,1276824,1.0,0.0
2025-09-26,68.87,68.94,68.85,68.86,733342,1.0,0.0
2025-09-29,68.95,68.95,68.81,68.83,2101102,1.0,0.0
2025-09-30,68.88,68.94,68.85,68.89,1109488,1.0,0.0
2025-10-01,68.87,69.0,68.87,68.95,979611,1.0,0.0
2025-10-02,68.93,69.01,68.88,68.99,804619,1.0,0.0
2025-10-03,68.97,69.05,68.92,68.96,975194,1.0,0.0
2025-10-06,69.15,69.22,69.0,69.01,1240918,1.0,0.0
2025-10-07,69.02,69.1,68.97,68.99,3873445,1.0,0.0
2025-10-08,69.1,69.1,68.385,68.61,3210237,1.0,0.0
2025-10-09,68.5,68.575,68.1453,68.52,2895392,1.0,0.0
2025-10-10,68.45,68.46,68.0,68.11,2475505,1.0,0.0
2025-10-13,68.3,68.41,68.15,68.38,1481248,1.0,0.0
2025-10-14,68.22,68.4,68.15,68.2,2008237,1.0,0.0
2025-10-15,68.25,68.35,68.17,68.28,1329224,1.0,0.0
2025-10-16,68.34,68.35,68.11,68.32,2392321,1.0,0.0
2025-10-17,68.2,68.34,68.2,68.26,2002099,1.0,0.0
2025-10-20,68.3,68.435,68.195,68.28,1531835,1.0,0.0
2025-10-21,68.38,68.49,68.25,68.34,3785881,1.0,0.0
2025-10-22,68.35,68.55,68.33,68.5,2490783,1.0,0.0
2025-10-23,68.5,68.55,68.45,68.5,2890183,1.0,0.0
2025-10-24,68.55,68.59,68.47,68.48,1175893,1.0,0.0
2025-10-27,68.54,68.585,68.41,68.45,2123258,1.0,0.0
2025-10-28,68.5,68.5,68.395,68.4,2195334,1.0,0.0
2025-10-29,68.31,68.45,68.31,68.36,3701608,1.0,0.0
2025-10-30,68.4,68.58,68.3,68.45,3162554,1.0,0.0
2025-10-31,68.8,68.98,68.68,68.74,8343366,1.0,0.0
2025-11-03,68.42,68.81,68.42,68.69,2116827,1.0,0.0
2025-11-04,68.7,68.84,68.61,68.61,2995585,1.0,0.0
2025-11-05,68.75,68.8,68.53,68.54,7779415,1.0,0.0
2025-11-06,68.56,68.69,68.39,68.52,5372121,1.0,0.0
2025-11-07,68.41,68.6,68.335,68.35,3595343,1.0,0.0
2025-11-10,68.55,68.69,68.44,68.6,4264696,1.0,0.0
2025-11-11,68.65,68.8,68.6,68.8,2896096,1.0,0.0
2025-11-12,68.8,69.17,68.71,68.99,5529193,1.0,0.0
2025-11-13,68.95,68.985,68.86,68.91,2130839,1.0,0.0
2025-11-14,68.87,69.07,68.84,69.0,1842365,1.0,0.0
2025-11-17,69.0,69.06,68.795,68.83,2167362,1.0,0.0
2025-11-18,68.8,69.02,68.8,68.97,3030868,1.0,0.0
2025-11-19,68.87,69.08,68.87,68.97,2886653,1.0,0.0
2025-11-20,69.1,69.12,68.84,68.87,3561659,1.0,0.0
2025-11-21,68.98,68.98,68.81,68.85,2365555,1.0,0.0
2025-11-24,68.87,69.05,68.87,68.95,2160427,1.0,0.0
2025-11-25,69.0,69.13,69.0,69.07,2314097,1.0,0.0
2025-11-26,69.0,69.11,68.98,69.0,2576525,1.0,0.0
2025-11-28,69.05,69.1,69.02,69.1,1190724,1.0,0.0
2025-12-01,69.04,69.195,69.01,69.12,3091376,1.0,0.0
2025-12-02,69.15,69.24,69.11,69.11,2339618,1.0,0.0
2025-12-03,69.11,69.2,69.09,69.1,3621940,1.0,0.0
2025-12-04,69.15,69.18,69.08,69.11,6982152,1.0,0.0
2025-12-05,69.15,69.15,68.98,69.07,5955847,1.0,0.0
2025-12-08,69.08,69.145,68.95,69.03,2029164,1.0,0.0
2025-12-09,69.0,69.07,68.905,68.95,3970545,1.0,0.0
2025-12-10,68.95,69.285,68.91,69.15,10085075,1.0,0.0
2025-12-11,69.15,69.225,69.12,69.16,3300202,1.0,0.0
2025-12-12,69.2,69.265,69.145,69.26,2394279,1.0,0.0
2025-12-15,69.3,69.41,69.26,69.29,5098483,1.0,0.0
2025-12-16,69.31,69.38,69.19,69.2,2689838,1.0,0.0
2025-12-17,69.35,69.35,69.21,69.22,2746124,1.0,0.0
2025-12-18,69.3,69.34,69.23,69.27,2542276,1.0,0.0
2025-12-19,69.3,69.335,69.235,69.27,2824825,1.0,0.0
2025-12-22,69.26,69.3,69.06,69.18,1791411,1.0,0.0
2025-12-23,69.18,69.2,69.11,69.14,1778863,1.0,0.0
2025-12-24,69.15,69.16,69.12,69.14,500769,1.0,0.0
2025-12-26,69.14,69.205,69.08,69.16,1098210,1.0,0.0
2025-12-29,69.2,69.24,69.14,69.22,1789233,1.0,0.0
2025-12-30,69.19,69.225,69.19,69.22,2151521,1.0,0.0
2025-12-31,69.2,69.24,69.1,69.16,1295413,1.0,0.0
2026-01-02,69.2,69.35,69.19,69.27,1658919,1.0,0.0
2026-01-05,69.25,69.415,69.2,69.34,3468751,1.0,0.0
